run,seed,step,hazard,alpha,pL_d3,pL_d5,pL_d7
0,892,0,0.24,71.59981906127744,0.24,0.02,0.0
0,892,1,0.2,71.66783715514963,0.2,0.0,0.0
0,892,2,0.1,71.62905343963459,0.1,0.0,0.0
0,892,3,0.4,71.95414809567106,0.4,0.0,0.02
0,892,4,0.56,72.49873328610389,0.56,0.02,0.0
0,892,5,0.22,72.67285995749342,0.22,0.02,0.0
0,892,6,0.22,72.853573961744,0.22,0.04,0.0
0,892,7,0.14,72.94421656556952,0.14,0.02,0.0
0,892,8,0.42,73.3697949090125,0.42,0.08,0.0
0,892,9,0.24,73.60081541811118,0.24,0.02,0.02
0,892,10,0.22,73.81273387629999,0.22,0.02,0.0
0,892,11,0.06,73.83546048866991,0.06,0.0,0.0
0,892,12,0.06,73.84791443980285,0.06,0.02,0.0
0,892,13,0.02,73.80312299582249,0.02,0.0,0.0
0,892,14,0.0,73.72281069624017,0.0,0.0,0.0
0,892,15,0.0,73.6305296266161,0.0,0.0,0.0
0,892,16,0.04,73.5754766639544,0.04,0.0,0.0
0,892,17,0.06,73.5379289975589,0.06,0.0,0.0
0,892,18,0.0,73.42413609780293,0.0,0.0,0.0
0,892,19,0.02,73.32572248802256,0.02,0.02,0.0
0,892,20,0.0,73.19715023922024,0.0,0.0,0.0
0,892,21,0.0,73.06143521529815,0.0,0.0,0.0
0,892,22,0.0,72.91929169376824,0.0,0.0,0.0
0,892,23,0.02,72.79536252439134,0.02,0.0,0.0
0,892,24,0.0,72.64382627195212,0.0,0.0,0.0
0,892,25,0.0,72.48744364475684,0.0,0.0,0.0
0,892,26,0.0,72.32669928028108,0.0,0.0,0.0
0,892,27,0.16,72.3540293522529,0.16,0.02,0.0
0,892,28,0.08,72.29462641702753,0.08,0.0,0.0
0,892,29,0.06,72.2131637753247,0.06,0.0,0.0
0,892,30,0.26,72.37184739779215,0.26,0.02,0.02
0,892,31,0.38,72.69066265801287,0.38,0.04,0.0
0,892,32,0.3,72.9375963922115,0.3,0.0,0.0
0,892,33,0.44,73.36783675299027,0.44,0.06,0.0
0,892,34,0.24,73.58305307769116,0.24,0.02,0.0
0,892,35,0.38,73.97274776992197,0.38,0.06,0.0
0,892,36,0.42,74.4274729929297,0.42,0.02,0.0
0,892,37,0.36,74.82872569363666,0.36,0.02,0.0
0,892,38,0.18,75.02585312427291,0.18,0.0,0.0
0,892,39,0.46,75.55526781184555,0.46,0.02,0.0
0,892,40,0.38,76.00774103066092,0.38,0.04,0.0
0,892,41,0.32,76.39896692759476,0.32,0.04,0.04
0,892,42,0.36,76.8430702348352,0.36,0.06,0.0
0,892,43,0.32,77.2467632113516,0.32,0.02,0.0
0,892,44,0.38,77.72608689021637,0.38,0.08,0.0
0,892,45,0.32,78.14147820119464,0.32,0.02,0.0
0,892,46,0.26,78.48733038107511,0.26,0.02,0.0
0,892,47,0.38,78.97459734296751,0.38,0.04,0.0
0,892,48,0.28,79.34913760867069,0.28,0.02,0.0
0,892,49,0.38,79.84222384780355,0.38,0.04,0.0
0,892,50,0.32,80.27000146302312,0.32,0.06,0.0
0,892,51,0.3,80.67500131672072,0.3,0.02,0.02
0,892,52,0.24,81.00750118504857,0.24,0.06,0.0
0,892,53,0.0,81.04675106654364,0.0,0.0,0.0
0,892,54,0.0,81.0620759598892,0.0,0.0,0.0
0,892,55,0.0,81.0558683639002,0.0,0.0,0.0
0,892,56,0.02,81.05428152751011,0.02,0.0,0.0
0,892,57,0.0,81.01285337475903,0.0,0.0,0.0
0,892,58,0.0,80.95556803728306,0.0,0.0,0.0
0,892,59,0.0,80.88401123355467,0.0,0.0,0.0
0,892,60,0.0,80.79961011019913,0.0,0.0,0.0
0,892,61,0.0,80.70364909917915,0.0,0.0,0.0
0,892,62,0.0,80.59728418926115,0.0,0.0,0.0
0,892,63,0.0,80.48155577033495,0.0,0.0,0.0
0,892,64,0.0,80.35740019330137,0.0,0.0,0.0
0,892,65,0.0,80.22566017397116,0.0,0.0,0.0
0,892,66,0.0,80.08709415657397,0.0,0.0,0.0
0,892,67,0.0,79.9423847409165,0.0,0.0,0.0
0,892,68,0.0,79.79214626682477,0.0,0.0,0.0
0,892,69,0.0,79.63693164014221,0.0,0.0,0.0
0,892,70,0.0,79.47723847612791,0.0,0.0,0.0
0,892,71,0.0,79.31351462851504,0.0,0.0,0.0
0,892,72,0.0,79.14616316566345,0.0,0.0,0.0
0,892,73,0.0,78.97554684909703,0.0,0.0,0.0
0,892,74,0.0,78.80199216418724,0.0,0.0,0.0
0,892,75,0.0,78.62579294776845,0.0,0.0,0.0
0,892,76,0.0,78.44721365299152,0.0,0.0,0.0
0,892,77,0.0,78.26649228769229,0.0,0.0,0.0
0,892,78,0.0,78.08384305892298,0.0,0.0,0.0
0,892,79,0.0,77.8994587530306,0.0,0.0,0.0
0,892,80,0.0,77.71351287772745,0.0,0.0,0.0
0,892,81,0.0,77.52616158995463,0.0,0.0,0.0
0,892,82,0.0,77.33754543095907,0.0,0.0,0.0
0,892,83,0.0,77.14779088786308,0.0,0.0,0.0
0,892,84,0.0,76.9570117990767,0.0,0.0,0.0
0,892,85,0.0,76.76531061916893,0.0,0.0,0.0
0,892,86,0.0,76.57277955725195,0.0,0.0,0.0
0,892,87,0.02,76.40350160152667,0.02,0.0,0.0
0,892,88,0.0,76.21115144137391,0.0,0.0,0.0
0,892,89,0.02,76.04203629723644,0.02,0.0,0.0
0,892,90,0.02,75.8738326675127,0.02,0.0,0.0
0,892,91,0.06,75.75444940076135,0.06,0.0,0.0
0,892,92,0.1,75.68700446068512,0.1,0.0,0.02
0,892,93,0.06,75.57830401461652,0.06,0.0,0.0
0,892,94,0.06,75.47247361315479,0.06,0.0,0.0
0,892,95,0.0,75.29722625183923,0.0,0.0,0.0
0,892,96,0.0,75.11950362665523,0.0,0.0,0.0
0,892,97,0.0,74.93955326398962,0.0,0.0,0.0
0,892,98,0.06,74.82959793759058,0.06,0.0,0.02
0,892,99,0.04,74.69863814383145,0.04,0.0,0.0
1,7739,0,0.0,74.52077432944822,0.0,0.0,0.0
1,7739,1,0.0,74.3406968965033,0.0,0.0,0.0
1,7739,2,0.04,74.20662720685289,0.04,0.0,0.0
1,7739,3,0.04,74.07396448616751,0.04,0.0,0.0
1,7739,4,0.02,73.91856803755067,0.02,0.0,0.0
1,7739,5,0.02,73.76271123379553,0.02,0.0,0.0
1,7739,6,0.02,73.60644011041589,0.02,0.0,0.0
1,7739,7,0.02,73.44979609937421,0.02,0.0,0.0
1,7739,8,0.02,73.2928164894367,0.02,0.0,0.02
1,7739,9,0.02,73.13553484049295,0.02,0.0,0.0
1,7739,10,0.02,72.97798135644356,0.02,0.0,0.0
1,7739,11,0.0,72.79618322079912,0.0,0.0,0.0
1,7739,12,0.0,72.61256489871913,0.0,0.0,0.0
1,7739,13,0.02,72.45130840884713,0.02,0.0,0.0
1,7739,14,0.04,72.31417756796233,0.04,0.0,0.0
1,7739,15,0.02,72.15475981116602,0.02,0.0,0.0
1,7739,16,0.02,71.99528383004933,0.02,0.0,0.0
1,7739,17,0.02,71.8357554470443,0.02,0.0,0.0
1,7739,18,0.0,71.6521799023398,0.0,0.0,0.02
1,7739,19,0.0,71.46696191210573,0.0,0.0,0.0
1,7739,20,0.0,71.28026572089507,0.0,0.0,0.0
