run,seed,step,hazard,alpha,pL_d3,pL_d5,pL_d7
0,892,0,0.0,0.01,0.48,0.04,0.0
0,892,1,0.0,0.01,0.44,0.04,0.0
0,892,2,0.0,0.01,0.56,0.06,0.0
0,892,3,0.0,0.01,0.3,0.04,0.0
0,892,4,0.0,0.01,0.38,0.04,0.0
0,892,5,0.0,0.01,0.22,0.04,0.0
0,892,6,0.0,0.01,0.34,0.06,0.0
0,892,7,0.02,0.01,0.34,0.02,0.02
0,892,8,0.0,0.01,0.3,0.04,0.0
0,892,9,0.0,0.01,0.32,0.0,0.0
0,892,10,0.02,0.01,0.42,0.04,0.02
0,892,11,0.0,0.01,0.48,0.02,0.0
0,892,12,0.0,0.01,0.38,0.04,0.0
0,892,13,0.0,0.01,0.28,0.06,0.0
0,892,14,0.0,0.01,0.26,0.0,0.0
0,892,15,0.0,0.01,0.34,0.04,0.0
0,892,16,0.0,0.01,0.26,0.02,0.0
0,892,17,0.0,0.01,0.28,0.02,0.0
0,892,18,0.02,0.01,0.34,0.06,0.02
0,892,19,0.0,0.01,0.32,0.0,0.0
0,892,20,0.0,0.01,0.34,0.04,0.0
0,892,21,0.0,0.01,0.38,0.04,0.0
0,892,22,0.0,0.01,0.42,0.0,0.0
0,892,23,0.0,0.01,0.34,0.02,0.0
0,892,24,0.0,0.01,0.32,0.04,0.0
0,892,25,0.0,0.01,0.44,0.02,0.0
0,892,26,0.02,0.01,0.34,0.06,0.02
0,892,27,0.04,0.01,0.38,0.02,0.04
0,892,28,0.0,0.01,0.26,0.04,0.0
0,892,29,0.04,0.01,0.3,0.02,0.04
0,892,30,0.0,0.01,0.44,0.06,0.0
0,892,31,0.0,0.01,0.36,0.06,0.0
0,892,32,0.02,0.01,0.36,0.0,0.02
0,892,33,0.0,0.01,0.5,0.04,0.0
0,892,34,0.0,0.01,0.38,0.04,0.0
0,892,35,0.0,0.01,0.36,0.02,0.0
0,892,36,0.0,0.01,0.44,0.04,0.0
0,892,37,0.02,0.01,0.4,0.06,0.02
0,892,38,0.0,0.01,0.36,0.02,0.0
0,892,39,0.06,0.01,0.46,0.04,0.06
0,892,40,0.0,0.01,0.34,0.06,0.0
0,892,41,0.02,0.01,0.44,0.0,0.02
0,892,42,0.02,0.01,0.5,0.02,0.02
0,892,43,0.0,0.01,0.38,0.08,0.0
0,892,44,0.0,0.01,0.48,0.02,0.0
0,892,45,0.0,0.01,0.4,0.12,0.0
0,892,46,0.0,0.01,0.3,0.08,0.0
0,892,47,0.0,0.01,0.28,0.04,0.0
0,892,48,0.0,0.01,0.48,0.0,0.0
0,892,49,0.0,0.01,0.46,0.06,0.0
1,7739,0,0.02,0.01,0.38,0.06,0.02
1,7739,1,0.02,0.01,0.4,0.04,0.02
1,7739,2,0.0,0.01,0.48,0.04,0.0
1,7739,3,0.0,0.01,0.4,0.06,0.0
1,7739,4,0.0,0.01,0.36,0.06,0.0
1,7739,5,0.0,0.01,0.56,0.06,0.0
1,7739,6,0.02,0.01,0.32,0.0,0.02
1,7739,7,0.0,0.01,0.6,0.02,0.0
1,7739,8,0.0,0.01,0.34,0.0,0.0
1,7739,9,0.0,0.01,0.44,0.02,0.0
1,7739,10,0.0,0.01,0.48,0.0,0.0
1,7739,11,0.0,0.01,0.38,0.02,0.0
1,7739,12,0.0,0.01,0.48,0.08,0.0
1,7739,13,0.0,0.01,0.34,0.04,0.0
1,7739,14,0.0,0.01,0.52,0.0,0.0
1,7739,15,0.0,0.01,0.4,0.02,0.0
1,7739,16,0.02,0.01,0.52,0.02,0.02
1,7739,17,0.0,0.01,0.38,0.02,0.0
1,7739,18,0.0,0.01,0.4,0.04,0.0
1,7739,19,0.0,0.01,0.48,0.02,0.0
