run,seed,step,hazard,alpha,pL_d3,pL_d5,pL_d7
0,892,106,0.02,0.01,0.52,0.02,0.02
0,892,107,0.0,0.01,0.4,0.02,0.0
0,892,108,0.0,0.01,0.46,0.06,0.0
0,892,109,0.0,0.01,0.3,0.0,0.0
0,892,110,0.0,0.01,0.28,0.02,0.0
0,892,111,0.02,0.01,0.36,0.06,0.02
0,892,112,0.0,0.01,0.34,0.02,0.0
0,892,113,0.0,0.01,0.5,0.06,0.0
0,892,114,0.0,0.01,0.4,0.0,0.0
0,892,115,0.02,0.01,0.42,0.04,0.02
0,892,116,0.0,0.01,0.44,0.06,0.0
0,892,117,0.0,0.01,0.44,0.02,0.0
0,892,118,0.04,0.01,0.34,0.02,0.04
0,892,119,0.0,0.01,0.38,0.04,0.0
0,892,120,0.0,0.01,0.22,0.0,0.0
0,892,121,0.0,0.01,0.34,0.02,0.0
0,892,122,0.0,0.01,0.32,0.0,0.0
0,892,123,0.0,0.01,0.3,0.02,0.0
0,892,124,0.0,0.01,0.28,0.02,0.0
0,892,125,0.0,0.01,0.2,0.0,0.0
0,892,126,0.02,0.01,0.26,0.02,0.02
0,892,127,0.0,0.01,0.3,0.0,0.0
0,892,128,0.0,0.01,0.18,0.0,0.0
0,892,129,0.0,0.01,0.28,0.0,0.0
0,892,130,0.0,0.01,0.3,0.02,0.0
0,892,131,0.0,0.01,0.36,0.04,0.0
0,892,132,0.0,0.01,0.32,0.04,0.0
0,892,133,0.0,0.01,0.34,0.02,0.0
0,892,134,0.0,0.01,0.14,0.02,0.0
0,892,135,0.02,0.01,0.26,0.02,0.02
0,892,136,0.02,0.01,0.22,0.02,0.02
0,892,137,0.02,0.01,0.28,0.02,0.02
0,892,138,0.02,0.01,0.14,0.0,0.02
0,892,139,0.0,0.01,0.48,0.0,0.0
0,892,140,0.0,0.01,0.36,0.04,0.0
0,892,141,0.0,0.01,0.24,0.0,0.0
0,892,142,0.0,0.01,0.4,0.12,0.0
0,892,143,0.0,0.01,0.36,0.06,0.0
0,892,144,0.0,0.01,0.32,0.06,0.0
0,892,145,0.0,0.01,0.32,0.0,0.0
0,892,146,0.0,0.01,0.28,0.0,0.0
0,892,147,0.04,0.01,0.32,0.04,0.04
0,892,148,0.02,0.01,0.52,0.08,0.02
0,892,149,0.02,0.01,0.24,0.06,0.02
1,7739,0,0.0,0.01,0.42,0.02,0.0
1,7739,1,0.0,0.01,0.34,0.04,0.0
1,7739,2,0.0,0.01,0.34,0.04,0.0
1,7739,3,0.02,0.01,0.48,0.04,0.02
1,7739,4,0.0,0.01,0.5,0.04,0.0
1,7739,5,0.02,0.01,0.16,0.02,0.02
1,7739,6,0.0,0.01,0.12,0.02,0.0
1,7739,7,0.0,0.01,0.2,0.0,0.0
1,7739,8,0.0,0.01,0.14,0.04,0.0
1,7739,9,0.0,0.01,0.32,0.02,0.0
1,7739,10,0.0,0.01,0.26,0.04,0.0
1,7739,11,0.0,0.01,0.16,0.0,0.0
1,7739,12,0.0,0.01,0.16,0.02,0.0
1,7739,13,0.0,0.01,0.12,0.0,0.0
1,7739,14,0.0,0.01,0.12,0.02,0.0
1,7739,15,0.0,0.01,0.14,0.02,0.0
1,7739,16,0.0,0.01,0.12,0.02,0.0
1,7739,17,0.0,0.01,0.16,0.0,0.0
1,7739,18,0.0,0.01,0.12,0.02,0.0
1,7739,19,0.02,0.01,0.26,0.06,0.02
1,7739,20,0.0,0.01,0.2,0.04,0.0
1,7739,21,0.0,0.01,0.22,0.02,0.0
1,7739,22,0.0,0.01,0.24,0.0,0.0
1,7739,23,0.0,0.01,0.32,0.02,0.0
1,7739,24,0.0,0.01,0.3,0.08,0.0
